Jane Fonda,"Jane Seymour Fonda (born December 21, 1937) is an American actress, political activist, environmentalist, and former fashion model. She is the recipient of various accolades including two Academy Awards, two BAFTA Awards, seven Golden Globe Awards, a Primetime Emmy Award, the AFI Life Achievement Award, the Honorary Golden Lion  and a star on the Hollywood Walk of Fame."
Robert De Niro,"Robert Anthony De Niro (/də ˈnɪəroʊ/, Italian: [de ˈniːro]; born August 17, 1943) is an American actor, producer, and director who holds both American and Italian citizenship. He is particularly known for his collaborations with filmmaker Martin Scorsese. He is the recipient of various accolades, including two Academy Awards, a Golden Globe Award, the Cecil B. DeMille Award, and a Screen Actors Guild Life Achievement Award. In 2009, he received the Kennedy Center Honor and in 2016, he received a Presidential Medal of Freedom from U.S. President Barack Obama."
Swoosie Kurtz,"Swoosie Kurtz (/ˈswuːsi/ SWOO-see; born September 6, 1944) is an American actress. She is the recipient of a Primetime Emmy Award, and two Tony Awards."
Vincent Price,"Vincent Leonard Price Jr. (May 27, 1911 – October 25, 1993) was an American actor best known for his performances in horror films, although his career spanned other genres. He appeared on stage, television, and radio, and in more than 100 films. He has two stars on the Hollywood Walk of Fame, one for motion pictures and one for television."
Eva Gabor,"Eva Gabor (/ˌeɪvə ɡəˈbɔːr, - ˈɡɑːbɔːr/ AY-və gə-BOR, -⁠ GAH-bor; February 11, 1919 – July 4, 1995) was a Hungarian-American actress, businesswoman, singer, and socialite. She was widely known for her role on the 1965–71 television sitcom, Green Acres, as Lisa Douglas, the wife of Eddie Albert's character, Oliver Wendell Douglas. She voiced Duchess in the Disney film The Aristocats, and Miss Bianca in Disney's The Rescuers and The Rescuers Down Under. Gabor was successful as an actress in film, on Broadway, and on television. She was also a successful businesswoman, marketing wigs, clothing, and beauty products. Her elder sisters, Zsa Zsa and Magda Gabor, were also actresses and socialites."
Jesse Metcalfe,"Jesse Eden Metcalfe (born December 9, 1978) is an American actor and musician. Metcalfe is known for his portrayal of John Rowland on Desperate Housewives. Metcalfe has also had notable roles on Passions and played the title role in John Tucker Must Die. He starred as Christopher Ewing in the TNT continuation of Dallas, based on the 1978 series of the same name. Since 2016, Jesse stars as Trace Riley in Hallmark Channel's hit series Chesapeake Shores."
Corey Large,"Corey William Large is a Canadian writer, actor, and producer of feature movies."
Monica Keena,"Monica Keena (born May 28, 1979) is an American actress. She made her film debut in While You Were Sleeping (1995),  and a lead role as Lilliana Lilli Hoffman in Snow White: A Tale of Terror (1997)."
Edward Furlong,"Edward Walter Furlong (born August 2, 1977) is an American actor. He won Saturn and MTV Movie Awards for his breakthrough performance as John Connor in James Cameron's Terminator 2: Judgment Day (1991) that was followed by a mini-sequel, a short attraction film T2-3D: Battle Across Time (1996) co-directed and co-written by Cameron with the same main cast. In 1992, he gave an Independent Spirit Award-nominated turn opposite Jeff Bridges in American Heart, and earned a second Saturn Award nomination for his work in Pet Sematary Two. He won a Young Artist Award for his performance alongside Kathy Bates in A Home of Our Own (1993) and appeared in Before and After (1996) with Meryl Streep and Liam Neeson. Furlong received acclaim for his starring roles in the 1998 motion pictures Pecker, co-starring Christina Ricci, and American History X, co-starring Edward Norton. He had significant roles in the comedy Detroit Rock City (1999) and the crime drama Animal Factory (2000)."
Arnold Vosloo,"Arnold Vosloo (born 16 June 1962) is a South African American actor. He is known for his roles as Imhotep in The Mummy and The Mummy Returns, Colonel Coetzee in Blood Diamond, Pik van Cleef in Hard Target, Dr. Peyton Westlake / Darkman in Darkman II and Darkman III, Zartan in G.I. Joe: The Rise of Cobra and its sequel, sniper Jacob Broadsky in Bones (TV Series) and terrorist Habib Marwan during the fourth season of 24."
Michael Madsen,"Michael Søren Madsen (born September 25, 1957) is an American actor, producer, director, writer, poet and photographer. His first major film role was in Thelma & Louise (1991), and he is best known for working with director Quentin Tarantino in the role of Mr. Blonde in Reservoir Dogs (1992), as Budd in both segments of Kill Bill (2003 and 2004), and appearing in The Hateful Eight (2015) and Once Upon a Time in Hollywood (2019). Known for playing ""charming, careless, terrifying bastards"", Madsen has also starred in many feature films and television series, and has done voice work for video games."
Barbara Sukowa,"Barbara Sukowa (German: [ˈbaʁ.ba.ʁa ˈzu.kɔ.va] (listen); born 2 February 1950) is a German theatre and film actress. She is known for her work with directors Rainer Werner Fassbinder and Margarethe von Trotta. She won the Cannes Film Festival Award for Best Actress for the film Rosa Luxemburg (1986). Her other film appearances include Lola (1981), Europa (1990), M. Butterfly (1993), and Hannah Arendt (2012). She starred as Katarina Jones in the television series 12 Monkeys (2015–18)."
Jean-Marc Barr,"Jean-Marc Barr (born September 27, 1960) is a French American film actor and director."
