Offon,"The human eye, the human form, the human face: these are the three central images of this avant-garde collage and kaleidoscope of shifting and fractured images, changing colors, and pulsing..."
Ninja Turtles: The Next Mutation,"""the heroes in a half-shell"" return to stop the evil Dragonlord with help from their newest member, Venus DiMilo."
Jag är nyfiken - en film i gult,"Told in a quasi-documentary style, this companion piece to Jag är nyfiken - en film i blått (1968) deals with topics such as class society, non-violent resistance, sex, relationships, and tourism to Francoist Spain."
Betty Boop with Henry the Funniest Living American,"Henry, comic strip character, gets a job at Betty Boop's pet store."
Father of the Pride,The misadventures of a family of White Lions who perform with Siegfried and Roy in Las Vegas.
Stargate SG-1,"A secret military team, SG-1, is formed to explore other planets through the recently discovered Stargates."
Stealing a Nation,"This tells a story literally 'hidden from history'. In the 1960s and 70s, British governments, conspiring with American officials, tricked into leaving, then expelled the entire population ..."
The Apprentice,Contestants compete for a job as an apprentice to billionaire American Donald Trump.
The Pervert's Guide to Cinema,Slavoj Zizek examines famous films in a philosophical and a psychoanalytic context.
Diagnosis Murder,"Dr. Mark Sloan has a knack for getting into trouble, negotiating the twists and turns of mysteries and solving crimes with the help of his son, Steve, a homicide detective."
Catscratch,"When their owner passes away, three cats, who are brothers that don't resemble each other, inherit a large amount of fortune along with a giant mansion and a very sarcastic butler named Hovis."
What I Like About You,"When Holly's father is transferred to Japan, she is sent to live with her big sister Valerie in New York City, turning Valerie's life upside down."
The Sealed Room,A king exacts vengeance upon his faithless mistress and her lover.
8 Simple Rules... for Dating My Teenage Daughter,"The Hennessy clan -- mother Cate, daughters Bridget and Kerry, and son Rory -- look to one another for guidance and support after the death of Paul, the family patriarch. Cate's parents lend a hand."
The Tenant of Wildfell Hall,"In the mid 19th Century, an enigmatic young woman moves to Yorkshire with a young son. Distancing herself from everyone in the village and their prying questions, she remains totally aloof ..."
Pushing Daisies,"A pie-maker, with the power to bring dead people back to life, solves murder mysteries with his alive-again childhood sweetheart, a cynical private investigator, and a lovesick waitress."
The Doodlebops,"The Doodlebops is a musical comedy series for children starring Deedee, Rooney and Moe Doodle. They are the ultimate rock and roll band - at least as far as preschoolers are concerned - and..."
Monarch Cove,"After being wrongfully convicted of her father's murder and subsequently spending six years in prison, Bianca Foster (Williams) returns home to a new set of family problems. Determined to ..."
George Lopez,Comedian George Lopez stars as a Los Angeles manufacturing plant manager attempting to deal with his wacky family along with other random mishaps.
3 Non-Blondes,"Gary Reich, the man who started the hidden-camera careers of Sacha Baron Cohen (Da Ali G Show) and Dom Joly (Trigger Happy TV), has found three women to take to the streets and carry the ..."
Walking with Cavemen,"The great follow-up to 'Walking with Dinosaurs' and 'Walking with Beasts', presented by Professor Robert Winston, explains the story of human evolution."
That '70s Show,"A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin."
Scooby-Doo and Scrappy-Doo,The adventures of the mystery solving dog and his nephew.
Pandora's Clock,"A man infected with a deadly virus boards Quantum Airlines flight 66 in Frankfurt, Germany. The US government must stop the plane before it lands at JFK International Airport."
The Drug Years,A look at the rise of illicit drug use and its cultural influence in the second half of the last century.
